Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-2.393099514428537944e+01
-1.500000000000000000e+01,-2.130950364425150667e+01
-1.000000000000000000e+01,-2.269306269871206538e+01
-5.000000000000000000e+00,-2.006016604675171067e+01
0.000000000000000000e+00,-1.534814906278099045e+01
5.000000000000000000e+00,-1.120952863183060977e+01
1.000000000000000000e+01,-6.267843899881679448e+00
1.500000000000000000e+01,-7.327702859511581179e-01
2.000000000000000000e+01,4.036871272661763044e+00
2.500000000000000000e+01,8.370008763273791175e+00
3.000000000000000000e+01,1.412562337541714896e+01
3.500000000000000000e+01,1.727305742870507999e+01
