Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-2.864042916483820278e+01
-1.500000000000000000e+01,-2.863517026061069259e+01
-1.000000000000000000e+01,-2.862528029791247874e+01
-5.000000000000000000e+00,-2.851900147846112432e+01
0.000000000000000000e+00,-2.756899646865430853e+01
5.000000000000000000e+00,-2.254530349921534338e+01
1.000000000000000000e+01,-1.753054984035586727e+01
1.500000000000000000e+01,-1.261838710424930099e+01
2.000000000000000000e+01,-8.455346212614969659e+00
2.500000000000000000e+01,-3.252485154985769178e+00
3.000000000000000000e+01,2.082916179432818371e+00
3.500000000000000000e+01,6.715359446610796645e+00
