Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-3.316859573273838180e+01
-1.500000000000000000e+01,-3.298555563748080033e+01
-1.000000000000000000e+01,-3.298284774553841459e+01
-5.000000000000000000e+00,-3.308395510460411515e+01
0.000000000000000000e+00,-3.206865634966725054e+01
5.000000000000000000e+00,-2.718305823917164687e+01
1.000000000000000000e+01,-2.228475759729435168e+01
1.500000000000000000e+01,-1.726711404538545125e+01
2.000000000000000000e+01,-1.272137031179216748e+01
2.500000000000000000e+01,-7.904252065957360962e+00
3.000000000000000000e+01,-2.412489393728529219e+00
3.500000000000000000e+01,2.395976852272694746e+00
