Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-3.281971292927812556e+01
-1.500000000000000000e+01,-3.328853993602996297e+01
-1.000000000000000000e+01,-3.316062842520919673e+01
-5.000000000000000000e+00,-3.310313533331838443e+01
0.000000000000000000e+00,-3.209308618339736796e+01
5.000000000000000000e+00,-2.623943767948475170e+01
1.000000000000000000e+01,-2.120804497928655508e+01
1.500000000000000000e+01,-1.623272174349871477e+01
2.000000000000000000e+01,-1.177462617606055062e+01
2.500000000000000000e+01,-6.947071877285627473e+00
3.000000000000000000e+01,-1.640238348278854064e+00
3.500000000000000000e+01,3.045847235445832801e+00
