Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-1.413467311687729122e+01
-1.500000000000000000e+01,-1.447097557288310199e+01
-1.000000000000000000e+01,-1.464776889692925721e+01
-5.000000000000000000e+00,-1.461257805652694408e+01
0.000000000000000000e+00,-1.356864300073014817e+01
5.000000000000000000e+00,-8.506731348210571753e+00
1.000000000000000000e+01,-3.711827539351199690e+00
1.500000000000000000e+01,1.470720630772265114e+00
2.000000000000000000e+01,6.102545608545465683e+00
2.500000000000000000e+01,1.064307544124153182e+01
3.000000000000000000e+01,1.593040776357447186e+01
3.500000000000000000e+01,2.086056568038024039e+01
