Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-2.268771123049739913e+01
-1.500000000000000000e+01,-2.267362157519003318e+01
-1.000000000000000000e+01,-2.325067424825190798e+01
-5.000000000000000000e+00,-2.306690482334254000e+01
0.000000000000000000e+00,-2.200709127808172383e+01
5.000000000000000000e+00,-1.766359804272700629e+01
1.000000000000000000e+01,-1.283577293517808826e+01
1.500000000000000000e+01,-8.000295885562122677e+00
2.000000000000000000e+01,-3.647834039336022904e+00
2.500000000000000000e+01,1.094835451427453421e+00
3.000000000000000000e+01,6.011066834508456580e+00
3.500000000000000000e+01,1.121308403986594726e+01
