Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-3.328476262739571467e+01
-1.500000000000000000e+01,-3.340228202059041962e+01
-1.000000000000000000e+01,-3.352488510769075702e+01
-5.000000000000000000e+00,-3.378978139417466764e+01
0.000000000000000000e+00,-3.278003109437590723e+01
5.000000000000000000e+00,-2.797952005995767166e+01
1.000000000000000000e+01,-2.440172392318036643e+01
1.500000000000000000e+01,-1.810672906187049591e+01
2.000000000000000000e+01,-1.312711518471684435e+01
2.500000000000000000e+01,-8.664823102242639408e+00
3.000000000000000000e+01,-3.702855397139735327e+00
3.500000000000000000e+01,9.265017542945773732e-01
