Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-2.665229772397489683e+01
-1.500000000000000000e+01,-2.117798593371599125e+01
-1.000000000000000000e+01,-2.022500051761998563e+01
-5.000000000000000000e+00,-1.991064193472534782e+01
0.000000000000000000e+00,-1.948444117946601040e+01
5.000000000000000000e+00,-1.448441423676831441e+01
1.000000000000000000e+01,-9.575736265349920728e+00
1.500000000000000000e+01,-4.536995721566680295e+00
2.000000000000000000e+01,-1.141949960307593326e+00
2.500000000000000000e+01,3.872515520239492748e+00
3.000000000000000000e+01,9.087379361885298934e+00
3.500000000000000000e+01,1.370880126775213625e+01
