Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-2.454241192141261152e+01
-1.500000000000000000e+01,-2.456599877064596882e+01
-1.000000000000000000e+01,-2.454859542042254361e+01
-5.000000000000000000e+00,-2.442624075946995177e+01
0.000000000000000000e+00,-2.343222733578869210e+01
5.000000000000000000e+00,-1.796425589817365776e+01
1.000000000000000000e+01,-1.375763288054614186e+01
1.500000000000000000e+01,-8.466777185360975011e+00
2.000000000000000000e+01,-4.102999415182383203e+00
2.500000000000000000e+01,6.930723372218426936e-01
3.000000000000000000e+01,5.941516962355121834e+00
3.500000000000000000e+01,1.069769446893591613e+01
