Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.117060678130171425e+01
5.000000000000000000e+00,-6.128702865792124044e+01
1.000000000000000000e+01,-5.989135034813720893e+01
1.500000000000000000e+01,-5.845560495944401680e+01
2.000000000000000000e+01,-5.532704692028053728e+01
2.500000000000000000e+01,-5.402442075799348231e+01
3.000000000000000000e+01,-5.545825178215365980e+01
3.500000000000000000e+01,-5.019358243673252673e+01
4.000000000000000000e+01,-4.793930529781347616e+01
4.500000000000000000e+01,-4.270497825793790270e+01
5.000000000000000000e+01,-3.323511633294860701e+01
5.500000000000000000e+01,-2.796416251178832368e+01
