Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.183909848890759520e+01
5.000000000000000000e+00,-5.737109815453923289e+01
1.000000000000000000e+01,-5.399058886954462366e+01
1.500000000000000000e+01,-5.020302854078103394e+01
2.000000000000000000e+01,-4.323704171404079943e+01
2.500000000000000000e+01,-4.078766419204906413e+01
3.000000000000000000e+01,-3.879235942386493718e+01
3.500000000000000000e+01,-3.162953830210887674e+01
4.000000000000000000e+01,-2.569891122460677479e+01
4.500000000000000000e+01,-2.148367726394230459e+01
5.000000000000000000e+01,-1.615213655188234299e+01
5.500000000000000000e+01,-9.655416339842924245e+00
