Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.411896518291209190e+01
5.000000000000000000e+00,-6.223361132724350853e+01
1.000000000000000000e+01,-5.902669613427561757e+01
1.500000000000000000e+01,-5.926328628982823687e+01
2.000000000000000000e+01,-5.610177342869285866e+01
2.500000000000000000e+01,-5.610688075522156737e+01
3.000000000000000000e+01,-5.385772756730098365e+01
3.500000000000000000e+01,-4.980886616858523297e+01
4.000000000000000000e+01,-4.551709451927504091e+01
4.500000000000000000e+01,-4.043384701868502873e+01
5.000000000000000000e+01,-3.473598371988923361e+01
5.500000000000000000e+01,-3.060717547886536849e+01
