Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.284490544742337192e+01
5.000000000000000000e+00,-6.095480000056950587e+01
1.000000000000000000e+01,-5.860708099229615442e+01
1.500000000000000000e+01,-5.815764560747608414e+01
2.000000000000000000e+01,-5.517258012304753834e+01
2.500000000000000000e+01,-5.198248827480861678e+01
3.000000000000000000e+01,-4.827507501674064372e+01
3.500000000000000000e+01,-4.203932460567078522e+01
4.000000000000000000e+01,-3.804831230688861865e+01
4.500000000000000000e+01,-3.309964983008205763e+01
5.000000000000000000e+01,-2.785881778117032326e+01
5.500000000000000000e+01,-2.452555612088247017e+01
