Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.403350610345145810e+01
5.000000000000000000e+00,-6.154696839328323676e+01
1.000000000000000000e+01,-5.859734270703962977e+01
1.500000000000000000e+01,-5.901390551881486601e+01
2.000000000000000000e+01,-5.681803563412432823e+01
2.500000000000000000e+01,-5.691271932056775995e+01
3.000000000000000000e+01,-5.673447474181398320e+01
3.500000000000000000e+01,-5.500881459716669042e+01
4.000000000000000000e+01,-5.173533051208610800e+01
4.500000000000000000e+01,-4.414369116488603595e+01
5.000000000000000000e+01,-3.870496371254267132e+01
5.500000000000000000e+01,-3.384204374547414318e+01
