Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.226351566365376300e+01
5.000000000000000000e+00,-6.099032803362135979e+01
1.000000000000000000e+01,-5.814758887617681182e+01
1.500000000000000000e+01,-5.731884972401437750e+01
2.000000000000000000e+01,-5.444734248645453789e+01
2.500000000000000000e+01,-5.202261025422781415e+01
3.000000000000000000e+01,-4.750849415889717164e+01
3.500000000000000000e+01,-4.371067769433687289e+01
4.000000000000000000e+01,-3.986579471623704052e+01
4.500000000000000000e+01,-3.442320908148725778e+01
5.000000000000000000e+01,-2.819352806476879891e+01
5.500000000000000000e+01,-2.440093365773989476e+01
