Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.224971424710454215e+01
5.000000000000000000e+00,-6.110428759046018854e+01
1.000000000000000000e+01,-5.902415211684463259e+01
1.500000000000000000e+01,-5.920004180862059684e+01
2.000000000000000000e+01,-5.779090858703168010e+01
2.500000000000000000e+01,-5.644737322297676485e+01
3.000000000000000000e+01,-5.548507417239149930e+01
3.500000000000000000e+01,-5.099590675774713588e+01
4.000000000000000000e+01,-4.495033841221325588e+01
4.500000000000000000e+01,-4.143414939365769811e+01
5.000000000000000000e+01,-3.524728938078288820e+01
5.500000000000000000e+01,-3.045223664744160885e+01
