Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.268939731800634263e+01
5.000000000000000000e+00,-6.226522725249331813e+01
1.000000000000000000e+01,-6.035698331436557851e+01
1.500000000000000000e+01,-5.937503964350567998e+01
2.000000000000000000e+01,-5.579527401668434550e+01
2.500000000000000000e+01,-5.554793979632059120e+01
3.000000000000000000e+01,-5.424923605958908723e+01
3.500000000000000000e+01,-4.954627000627343847e+01
4.000000000000000000e+01,-4.638271103146013985e+01
4.500000000000000000e+01,-3.915864183901680917e+01
5.000000000000000000e+01,-3.654189333208901758e+01
5.500000000000000000e+01,-3.300839420222899179e+01
