Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.141771858614162483e+01
5.000000000000000000e+00,-6.117366371866388164e+01
1.000000000000000000e+01,-6.001794340670089412e+01
1.500000000000000000e+01,-5.939248247595840979e+01
2.000000000000000000e+01,-5.608495875398467234e+01
2.500000000000000000e+01,-5.528658087241670671e+01
3.000000000000000000e+01,-5.446115685589022348e+01
3.500000000000000000e+01,-4.815614470695390992e+01
4.000000000000000000e+01,-4.537729662271460285e+01
4.500000000000000000e+01,-3.907499351360667106e+01
5.000000000000000000e+01,-3.213410125741087597e+01
5.500000000000000000e+01,-2.808150953244650694e+01
