Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.261098434439219318e+01
5.000000000000000000e+00,-6.084726986919528002e+01
1.000000000000000000e+01,-5.980156071538078777e+01
1.500000000000000000e+01,-5.717462830469122537e+01
2.000000000000000000e+01,-5.440192709959600137e+01
2.500000000000000000e+01,-5.084482281636175571e+01
3.000000000000000000e+01,-4.813800788216952498e+01
3.500000000000000000e+01,-4.273808469913195296e+01
4.000000000000000000e+01,-3.793201050927861218e+01
4.500000000000000000e+01,-3.282892154822035025e+01
5.000000000000000000e+01,-2.860194611582462443e+01
5.500000000000000000e+01,-2.379551650604735968e+01
